drone_id,t,x,y,z,yaw
cf3,0.9000,-1.0771,0.1237,0.5000,-0.0228
cf3,1.0000,-0.9745,0.1213,0.5000,-0.0238
cf3,1.1000,-0.8718,0.1189,0.5000,-0.0244
cf3,1.2000,-0.7690,0.1164,0.5000,-0.0243
cf3,1.3000,-0.6662,0.1139,0.5000,-0.0238
cf3,1.4000,-0.5633,0.1114,0.5000,-0.0226
cf3,1.5000,-0.4604,0.1091,0.5000,-0.0207
cf3,1.6000,-0.3574,0.1070,0.5000,-0.0180
cf3,1.7000,-0.2543,0.1051,0.5000,-0.0146
cf3,1.8000,-0.1512,0.1036,0.5000,-0.0102
cf3,1.9000,-0.0482,0.1026,0.5000,-0.0048
cf3,2.0000,0.0545,0.1021,0.5000,0.0012
cf3,2.1000,0.1567,0.1022,0.5000,0.0066
cf3,2.2000,0.2587,0.1028,0.5000,0.0110
cf3,2.3000,0.3607,0.1040,0.5000,0.0146
cf3,2.4000,0.4629,0.1055,0.5000,0.0174
cf3,2.5000,0.5651,0.1073,0.5000,0.0195
cf3,2.6000,0.6675,0.1093,0.5000,0.0210
cf3,2.7000,0.7699,0.1114,0.5000,0.0219
cf3,2.8000,0.8723,0.1137,0.5000,0.0223
cf3,2.9000,0.9748,0.1159,0.5000,0.0223
cf3,3.0000,1.0774,0.1182,0.5000,0.0218
cf3,3.1000,1.1799,0.1205,0.5000,0.0210
cf3,3.2000,1.2824,0.1226,0.5000,0.0198
cf3,3.3000,1.3849,0.1246,0.5000,0.0183
cf3,3.4000,1.4875,0.1265,0.5000,0.0165
cf3,3.5000,1.5900,0.1282,0.5000,0.0144
cf3,3.6000,1.6925,0.1297,0.5000,0.0120
cf3,3.7000,1.7950,0.1309,0.5000,0.0093
cf3,3.8000,1.8975,0.1319,0.5000,0.0065
cf3,3.9000,2.0000,0.1325,0.5000,0.0040
cf4,0.0000,-2.0000,0.4000,0.5000,-0.0000
cf4,0.1000,-1.8974,0.4000,0.5000,-0.0000
cf4,0.2000,-1.7957,0.4000,0.5000,-0.0119
cf4,0.3000,-1.6942,0.3988,0.5000,-0.0250
cf4,0.4000,-1.5926,0.3962,0.5000,-0.0371
cf4,0.5000,-1.4907,0.3925,0.5000,-0.0478
cf4,0.6000,-1.3886,0.3876,0.5000,-0.0569
cf4,0.7000,-1.2862,0.3818,0.5000,-0.0645
cf4,0.8000,-1.1837,0.3751,0.5000,-0.0705
cf4,0.9000,-1.0810,0.3679,0.5000,-0.0750
cf4,1.0000,-0.9782,0.3602,0.5000,-0.0778
cf4,1.1000,-0.8753,0.3521,0.5000,-0.0789
cf4,1.2000,-0.7723,0.3440,0.5000,-0.0781
cf4,1.3000,-0.6694,0.3359,0.5000,-0.0753
cf4,1.4000,-0.5665,0.3282,0.5000,-0.0702
cf4,1.5000,-0.4638,0.3210,0.5000,-0.0629
cf4,1.6000,-0.3615,0.3145,0.5000,-0.0529
cf4,1.7000,-0.2595,0.3091,0.5000,-0.0400
cf4,1.8000,-0.1577,0.3050,0.5000,-0.0242
cf4,1.9000,-0.0555,0.3026,0.5000,-0.0058
cf4,2.0000,0.0486,0.3020,0.5000,0.0119
cf4,2.1000,0.1516,0.3032,0.5000,0.0270
cf4,2.2000,0.2545,0.3060,0.5000,0.0394
cf4,2.3000,0.3576,0.3100,0.5000,0.0492
cf4,2.4000,0.4607,0.3151,0.5000,0.0567
cf4,2.5000,0.5640,0.3210,0.5000,0.0621
cf4,2.6000,0.6673,0.3274,0.5000,0.0657
cf4,2.7000,0.7705,0.3342,0.5000,0.0678
cf4,2.8000,0.8736,0.3412,0.5000,0.0683
cf4,2.9000,0.9765,0.3482,0.5000,0.0676
cf4,3.0000,1.0793,0.3552,0.5000,0.0658
cf4,3.1000,1.1820,0.3620,0.5000,0.0629
cf4,3.2000,1.2845,0.3684,0.5000,0.0591
cf4,3.3000,1.3870,0.3745,0.5000,0.0544
cf4,3.4000,1.4893,0.3800,0.5000,0.0488
cf4,3.5000,1.5915,0.3850,0.5000,0.0425
cf4,3.6000,1.6937,0.3894,0.5000,0.0353
cf4,3.7000,1.7958,0.3930,0.5000,0.0274
cf4,3.8000,1.8979,0.3958,0.5000,0.0191
cf4,3.9000,2.0001,0.3978,0.5000,0.0116
